Sample ID	NR-AhR	NR-AR	NR-AR-LBD	NR-Aromatase	NR-ER	NR-ER-LBD	NR-PPAR-gamma	SR-ARE	SR-ATAD5	SR-HSE	SR-MMP	SR-p53
NCGC00260811-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261165-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261060-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261541-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261649-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261110-01	1	0	0	0	0	0	0	1	0	0	0	0
NCGC00261130-01	1	0	x	x	0	0	0	x	0	0	0	0
NCGC00260846-01	0	0	0	0	0	0	0	1	0	0	x	0
NCGC00261030-01	0	0	x	x	x	0	0	x	0	0	0	0
NCGC00261162-01	0	0	x	0	0	0	0	x	0	0	0	0
NCGC00261058-01	0	0	0	0	0	0	1	1	0	0	1	1
NCGC00261404-01	0	0	0	0	0	0	0	x	x	0	0	0
NCGC00261423-01	1	0	0	x	1	0	x	1	1	0	0	0
NCGC00261856-01	1	0	0	x	1	0	0	1	1	0	0	0
NCGC00261342-01	0	0	0	0	1	1	0	0	0	0	x	0
NCGC00261935-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261069-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261101-01	0	0	0	1	0	0	0	1	0	0	0	0
NCGC00261183-01	0	0	0	x	0	0	x	0	0	0	0	0
NCGC00261716-01	0	0	0	0	0	0	0	0	0	0	x	0
NCGC00260742-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261529-01	0	0	0	x	0	0	0	1	0	x	x	0
NCGC00261170-01	0	0	0	1	0	0	x	x	0	0	x	x
NCGC00261565-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260990-01	1	0	x	0	0	0	0	1	0	0	x	1
NCGC00261340-01	1	0	0	x	0	0	0	0	0	0	0	0
NCGC00261079-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00261389-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261744-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261420-01	0	0	0	x	x	0	0	1	0	0	x	1
NCGC00261215-01	0	0	0	0	0	0	1	0	0	0	0	0
NCGC00261826-01	0	0	0	0	0	0	0	x	0	0	x	0
NCGC00260706-01	0	0	x	0	0	0	0	0	0	x	0	0
NCGC00261123-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261367-01	0	0	0	0	1	0	1	x	x	0	0	0
NCGC00261507-01	0	0	0	1	0	0	0	x	0	0	0	0
NCGC00261169-01	0	0	0	x	0	0	0	0	0	0	x	0
NCGC00261730-01	0	0	0	0	0	0	0	x	0	0	0	0
NCGC00261624-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261641-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261853-01	0	0	0	0	0	0	0	0	0	0	1	0
NCGC00260911-01	0	0	0	x	x	x	0	0	0	0	0	0
NCGC00260798-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261384-01	1	0	0	0	0	0	0	0	0	0	0	0
NCGC00260785-01	0	0	0	0	0	0	0	x	0	0	0	0
NCGC00261597-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261025-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260789-01	0	0	0	x	0	0	0	1	0	0	1	0
NCGC00260866-01	1	0	0	0	0	0	0	0	1	0	0	0
NCGC00261189-01	0	0	0	0	1	1	0	x	0	0	0	1
NCGC00261270-01	0	0	x	0	1	0	0	0	0	0	0	0
NCGC00261611-01	0	0	x	0	x	0	0	0	0	0	x	0
NCGC00261160-01	0	0	x	x	x	x	0	x	x	x	x	1
NCGC00261085-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261817-01	0	0	x	x	0	0	0	x	0	0	x	0
NCGC00261866-01	0	0	0	0	0	0	0	0	0	0	x	0
NCGC00260852-01	0	0	0	x	1	0	0	0	0	0	0	0
NCGC00261290-01	0	0	0	0	0	0	0	0	0	0	x	0
NCGC00261304-01	1	0	x	1	x	0	0	x	0	0	1	x
NCGC00261704-01	1	0	0	1	0	0	0	x	0	0	0	0
NCGC00260850-01	0	0	0	0	0	0	0	0	0	0	x	0
NCGC00260972-01	0	0	0	0	0	0	0	1	0	0	0	x
NCGC00261364-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261392-01	0	0	0	x	0	0	1	1	0	0	0	0
NCGC00261638-01	1	0	0	0	0	0	0	0	0	0	0	1
NCGC00261820-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261808-01	0	0	0	x	0	0	0	x	0	0	0	0
NCGC00260790-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260940-01	1	0	0	x	1	0	0	0	x	0	x	x
NCGC00261081-01	0	0	0	x	0	0	0	x	0	0	0	0
NCGC00261506-01	x	0	0	0	0	0	0	x	0	0	x	0
NCGC00261133-01	0	0	0	0	0	0	0	0	0	x	x	0
NCGC00261399-01	0	0	0	x	1	0	0	1	0	0	0	0
NCGC00260696-01	0	0	0	0	0	0	1	0	0	0	0	0
NCGC00261903-01	0	0	x	0	x	0	0	x	x	0	x	x
NCGC00261178-01	0	0	0	0	1	0	0	0	0	0	x	1
NCGC00261568-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260830-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261113-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261327-01	0	0	0	0	0	0	0	0	1	0	0	0
NCGC00261602-01	1	0	0	0	0	0	0	1	0	0	0	0
NCGC00260858-01	0	0	x	1	0	0	0	1	0	0	x	0
NCGC00261071-01	0	0	x	0	x	0	1	x	0	0	0	x
NCGC00261076-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261192-01	0	0	0	0	0	0	0	0	0	0	x	0
NCGC00261495-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261577-01	1	0	x	0	0	0	0	1	0	x	1	1
NCGC00261510-01	0	0	x	0	0	0	0	0	0	0	0	x
NCGC00261679-01	1	0	x	0	0	0	x	0	0	0	x	0
NCGC00261941-01	0	0	0	0	0	0	0	1	0	0	0	0
NCGC00261343-01	0	0	x	0	0	0	0	x	0	0	x	1
NCGC00261607-01	0	0	0	0	0	0	0	x	0	0	0	0
NCGC00261782-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261914-01	0	0	0	0	0	0	0	0	0	0	0	x
NCGC00261475-01	0	0	x	0	0	0	0	x	x	0	x	0
NCGC00261764-01	1	0	0	x	0	0	1	x	0	0	1	1
NCGC00261802-01	0	0	0	0	0	x	x	0	0	1	1	1
NCGC00261813-01	x	0	x	x	0	0	0	0	x	0	0	0
NCGC00260795-01	0	0	x	0	0	x	1	0	0	0	0	0
NCGC00261352-01	0	0	0	0	0	0	0	0	0	0	x	0
NCGC00261009-01	1	0	0	x	0	0	0	1	0	0	x	0
NCGC00261944-01	0	0	0	0	1	0	x	1	0	0	x	0
NCGC00261166-01	1	0	0	x	0	0	0	x	0	0	1	0
NCGC00261332-01	1	0	1	x	1	1	1	1	1	0	x	x
NCGC00261333-01	1	0	x	1	0	0	0	1	x	1	x	1
NCGC00261260-01	0	0	1	x	1	1	0	0	0	0	1	0
NCGC00261915-01	1	0	x	1	x	x	0	x	x	0	1	0
NCGC00261238-01	x	0	0	0	1	1	0	1	0	0	x	0
NCGC00261682-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261049-01	0	0	0	0	0	0	0	x	0	0	0	0
NCGC00260910-01	0	0	0	0	0	0	0	x	0	0	x	0
NCGC00261272-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260708-01	0	0	0	0	1	0	0	0	0	0	0	0
NCGC00261390-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260948-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00261840-01	0	0	0	0	0	0	1	0	0	0	0	0
NCGC00260881-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261153-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261406-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261053-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261129-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261381-01	0	0	0	0	0	0	x	x	0	0	1	0
NCGC00261426-01	1	0	x	0	0	0	0	1	x	0	x	1
NCGC00260979-01	0	0	0	1	0	0	1	x	1	0	0	0
NCGC00260993-01	0	0	0	0	0	0	1	0	x	0	0	0
NCGC00261108-01	0	0	0	1	0	0	0	0	0	0	0	0
NCGC00261441-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261877-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260815-01	0	0	0	x	0	0	0	0	0	0	0	0
NCGC00261542-01	0	0	x	x	x	x	0	x	0	0	1	x
NCGC00261958-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261787-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261065-01	0	0	0	x	0	0	1	0	0	0	x	0
NCGC00261804-01	1	0	0	x	0	0	0	1	0	0	x	1
NCGC00260875-01	1	0	0	x	0	0	1	0	0	0	1	0
NCGC00261451-01	0	0	0	0	0	0	0	0	0	0	x	0
NCGC00261739-01	0	0	0	0	x	0	0	0	0	0	x	0
NCGC00261948-01	x	0	0	1	0	0	x	0	0	0	x	x
NCGC00261382-01	0	0	x	x	0	0	0	1	0	0	x	x
NCGC00261663-01	0	0	0	x	x	0	0	x	0	0	0	0
NCGC00260892-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261297-01	0	0	0	0	0	0	0	x	0	0	0	0
NCGC00261321-01	0	0	0	0	0	0	0	0	1	x	0	0
NCGC00261446-01	1	0	0	0	0	0	0	0	0	0	x	0
NCGC00261474-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260834-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260840-01	0	0	0	0	0	0	x	0	0	0	0	0
NCGC00260947-01	0	0	0	x	0	0	1	0	0	0	0	0
NCGC00261080-01	0	0	0	x	0	0	x	0	1	0	0	0
NCGC00261563-01	0	0	0	x	0	0	0	0	x	0	0	0
NCGC00261873-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260803-01	0	0	0	0	0	0	0	x	1	0	0	0
NCGC00260833-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00261008-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261155-01	0	0	0	0	0	0	1	0	1	0	0	0
NCGC00261643-01	0	0	0	x	0	0	1	0	1	0	0	0
NCGC00261037-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261126-01	0	0	0	0	0	0	0	x	0	0	x	0
NCGC00260871-01	0	0	0	0	x	0	0	1	0	0	1	0
NCGC00260713-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261487-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261545-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261480-01	0	0	0	1	0	0	0	x	0	0	0	0
NCGC00261838-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261627-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261639-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261177-01	0	0	0	x	0	0	0	0	0	0	0	0
NCGC00260692-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260775-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260876-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261598-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260707-01	0	0	0	x	0	0	0	0	1	0	0	0
NCGC00261554-01	1	0	0	x	0	0	0	x	0	0	0	0
NCGC00261713-01	1	0	0	x	1	0	0	1	1	0	0	0
NCGC00261737-01	1	0	0	x	0	0	1	1	0	0	x	x
NCGC00261882-01	0	0	0	x	0	0	0	0	0	0	x	0
NCGC00261933-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261201-01	0	0	0	x	0	0	0	0	0	0	0	1
NCGC00261398-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261601-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261003-01	0	0	x	x	x	x	x	1	1	0	0	x
NCGC00261019-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261519-01	0	0	x	0	0	0	0	0	0	0	0	0
NCGC00261732-01	0	0	0	0	0	0	0	x	0	0	0	0
NCGC00261718-01	0	0	0	x	0	0	x	0	0	0	0	0
NCGC00260743-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260751-01	0	0	0	x	0	0	0	1	0	0	0	0
NCGC00260867-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260982-01	0	0	x	0	0	0	0	0	0	0	0	0
NCGC00261176-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261289-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261440-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261657-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260822-01	1	0	0	1	0	0	x	x	0	0	1	0
NCGC00261142-01	0	0	0	x	0	0	x	x	0	0	0	1
NCGC00261582-01	0	0	0	0	1	0	0	x	0	0	0	0
NCGC00261825-01	0	0	0	0	0	0	0	x	0	0	1	0
NCGC00261833-01	0	0	0	0	0	0	0	x	0	0	x	0
NCGC00261835-01	0	0	0	x	0	0	0	0	0	0	0	0
NCGC00261860-01	0	0	x	x	x	0	0	1	x	0	1	1
NCGC00261906-01	1	0	x	0	0	0	0	x	x	0	1	0
NCGC00261916-01	1	0	0	0	0	0	0	1	0	0	0	0
NCGC00261939-01	0	0	x	1	x	0	0	x	x	0	x	x
NCGC00261869-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261163-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261653-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261248-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00260770-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261013-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261910-01	1	0	0	x	0	0	0	1	1	0	1	0
NCGC00261686-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261147-01	0	0	0	0	0	0	x	0	0	0	0	0
NCGC00261578-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261336-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00261593-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260821-01	0	0	x	x	1	0	0	1	0	0	0	0
NCGC00261007-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261246-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261949-01	0	0	x	0	0	0	0	0	0	0	0	0
NCGC00260890-01	0	0	0	0	0	0	0	1	0	0	0	0
NCGC00261294-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261330-01	0	0	0	0	0	0	0	x	0	0	0	0
NCGC00261470-01	0	0	0	0	1	0	0	0	0	0	0	0
NCGC00260691-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261693-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261293-01	0	0	0	x	0	0	0	x	0	0	x	0
NCGC00261018-01	0	0	0	1	0	0	0	x	0	0	0	0
NCGC00261075-01	1	0	0	x	0	0	0	1	0	0	0	0
NCGC00261150-01	0	0	0	0	0	0	0	x	0	0	0	0
NCGC00261767-01	0	0	0	0	0	0	0	x	0	0	0	0
NCGC00261824-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261146-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260817-01	0	0	0	0	0	0	0	1	0	0	0	0
NCGC00261161-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260728-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261286-01	0	0	0	0	0	0	0	0	0	0	0	x
NCGC00261254-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00261261-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261691-01	0	0	0	x	0	0	0	0	0	0	x	0
NCGC00261921-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00260962-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261028-01	0	0	0	0	1	x	0	0	0	0	0	0
NCGC00261349-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261583-01	0	0	0	x	1	0	1	1	1	0	x	1
NCGC00261672-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261620-01	0	0	x	0	0	0	x	x	0	0	x	x
NCGC00261141-01	0	0	x	0	0	0	0	0	0	0	0	0
NCGC00261752-01	0	0	0	x	0	0	0	0	0	0	0	0
NCGC00261828-01	0	0	0	1	0	1	0	x	0	0	0	0
NCGC00261913-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00261473-01	0	0	0	0	1	0	0	1	0	0	0	0
NCGC00356953-01	0	0	x	1	1	0	0	0	0	0	0	0
NCGC00357009-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357188-01	0	x	x	1	x	x	0	1	0	0	x	1
NCGC00357201-01	0	x	x	x	x	x	x	x	1	1	1	0
NCGC00357189-01	0	x	x	x	x	x	0	x	0	0	1	0
NCGC00357163-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357001-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357030-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357123-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357091-01	x	0	0	0	0	0	0	0	0	0	0	0
NCGC00357004-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357103-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357289-01	0	x	x	1	x	0	0	0	0	0	0	0
NCGC00357082-01	1	x	x	1	x	x	0	x	0	0	x	1
NCGC00356999-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357116-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357010-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357057-01	x	0	0	x	1	0	0	0	0	0	0	0
NCGC00357171-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356964-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356995-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357062-01	1	x	x	x	x	x	0	1	0	1	1	1
NCGC00357205-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357185-01	0	0	0	0	x	x	0	0	0	0	0	0
NCGC00357028-01	1	0	0	0	x	0	0	0	0	0	x	0
NCGC00357064-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357196-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357271-01	0	0	x	x	x	x	x	0	0	x	x	x
NCGC00357213-01	x	0	0	0	x	x	0	x	0	0	0	0
NCGC00357198-01	0	0	0	0	x	x	0	0	0	0	0	0
NCGC00357079-01	0	x	0	0	x	0	0	0	0	0	0	0
NCGC00356984-01	0	x	x	x	x	x	1	1	0	1	1	x
NCGC00357080-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357173-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357277-01	0	0	0	0	0	x	x	0	x	1	0	0
NCGC00357240-01	0	0	0	0	0	0	x	0	0	0	0	0
NCGC00357145-01	0	x	0	0	x	0	0	0	0	0	0	0
NCGC00357157-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357160-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357107-01	0	1	0	0	0	0	0	0	0	0	0	0
NCGC00357106-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357047-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357174-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357090-01	0	0	0	0	0	0	0	1	0	0	0	0
NCGC00357204-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357214-01	0	0	0	0	1	x	0	0	0	0	0	0
NCGC00357124-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356983-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357092-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357042-01	0	0	0	0	0	0	0	0	0	x	0	0
NCGC00357036-01	0	0	0	0	0	0	0	0	x	0	0	0
NCGC00357089-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357170-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357132-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357265-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357260-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357023-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357114-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357033-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357120-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356963-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357055-01	0	x	0	x	0	1	0	0	0	x	x	0
NCGC00357139-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357026-01	1	x	0	x	1	0	0	0	1	0	1	0
NCGC00357242-01	0	x	0	x	x	0	0	1	x	1	1	0
NCGC00357161-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357279-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357288-01	1	0	0	x	x	x	0	1	0	1	x	0
NCGC00356973-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357143-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357182-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356971-01	0	0	0	x	0	x	0	0	0	0	0	0
NCGC00357084-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357112-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00356962-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00356993-01	0	0	0	0	x	0	x	0	0	0	x	0
NCGC00357284-01	1	x	0	x	x	x	0	1	0	1	x	1
NCGC00357046-01	0	x	0	1	0	0	1	1	0	0	0	0
NCGC00357000-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357012-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356939-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356955-01	0	0	0	0	0	0	0	0	0	0	x	0
NCGC00357262-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00356991-01	1	x	0	x	x	0	0	x	1	x	x	0
NCGC00357203-01	0	0	0	0	0	0	0	0	0	0	x	0
NCGC00357049-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357164-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357073-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357043-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357269-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357266-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357076-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357153-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357138-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357071-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357274-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356981-01	0	0	0	0	1	x	0	0	0	0	0	0
NCGC00357278-01	0	0	0	0	0	0	x	0	0	0	0	0
NCGC00357113-01	0	x	0	0	0	0	0	0	0	0	0	0
NCGC00357218-01	0	x	0	x	1	x	0	1	0	x	x	1
NCGC00357018-01	x	0	x	0	1	1	0	x	0	0	x	0
NCGC00357048-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357162-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00356941-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357184-01	0	0	0	0	0	x	0	0	0	0	0	0
NCGC00357238-01	0	0	0	0	x	0	0	0	0	0	0	0
NCGC00357220-01	0	0	0	0	0	0	0	0	0	0	0	0
NCGC00357252-01	0	0	0	0	0	0	0	1	0	0	0	0
NCGC00357159-01	0	0	0	0	0	0	0	0	0	0	0	0
